Name,Identifier,Sub_Identifier,Prosopographical_Reference,Prosopographical_Reference_id,Work,Edition,Edition_id,Passage,Book,Casaubon_Reference,Kaibel_Reference,Is_Range,Note_Reference
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 265",9,9.394f,9.51,"range end","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 266",9,9.397b,9.56,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 267",9,9.398e,9.58,,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 268",11,11.489f,11.79,,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 326",14,14.652a,14.66,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 327",14,14.653d,14.68,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 327",14,14.653e,14.68,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 41",15,15.674b,15.15@15.16,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 41",15,15.674c,15.16,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 42",13,13.556d,13.3,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 43",13,13.564b,13.16,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 464",2,2.60d,2.56,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 466",1,1.3f,1.5,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 467",5,5.186b,5.2,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 472",1,1.23d,1.42,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 475.1",6,6.272c,6.103,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 48",15,15.674e,15.16,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 48",15,15.674f,15.16,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 496",7,7.296c,7.47,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 503",11,11.499d,11.100,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 50",5,5.178f,5.6,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 50",5,5.186e,5.3,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 520.1",14,14.618e,14.10,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 520.1",14,14.618f,14.10,range,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 520.1",14,14.619a,14.10,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 554.1",6,6.264c,6.85@6.86,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 560",13,13.576a,13.35@13.36,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 562",6,6.235e,6.27@6.28,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 565.1",12,12.523e,12.25@12.26,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 565.1",12,12.523f,12.26,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 566",8,8.348b,8.40,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 566",8,8.348c,8.40,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 5",8,8.335f,8.14,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 5",8,8.336a,8.14,range,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 5",8,8.336b,8.14,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 600.1",12,12.520c,12.18@12.19,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 600.1",12,12.520d,12.19,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 601",12,12.523c,12.25,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 601",12,12.523d,12.25,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 605.1",10,10.435d,10.46@10.47,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 605.1",10,10.435e,10.47,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 666",1,1.34b,1.61,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 667",2,2.40d,2.11@2.12,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 668",2,2.44b,2.20@2.21,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 668",2,2.44c,2.21,range,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 668",2,2.44d,2.21@2.22,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 669",10,10.429c,10.34,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 669",10,10.429d,10.34,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 670",10,10.429f,10.34@10.35,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 671",10,10.447a,10.66@10.67,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 671",10,10.447b,10.67,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 672",11,11.464b,11.11,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 672",11,11.464c,11.11,range,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 672",11,11.464d,11.11@11.12,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 673",11,11.496f,11.96@11.97,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 674",14,14.641c,14.47@14.48,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 675",14,14.641d,14.48,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 675",14,14.641e,14.48,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 709",2,2.67d,2.76,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 71.2",13,13.556a,13.2,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 762",1,1.24e,1.44@1.45,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 763",15,15.692b,15.45,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 763",15,15.692c,15.45@15.46,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 772",4,4.173e,4.74,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 772",4,4.173f,4.74,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 793",1,1.6d,1.10,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Gigon ed.",,"fr 991",14,14.654d,14.69@14.70,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,PMG,,842.15-16,15,15.696e,15.52,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,PMG,,842,15,15.696a,15.50@15.51,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,PMG,,842,15,15.696b,15.51,range,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,PMG,,842,15,15.696c,15.51,range,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,PMG,,842,15,15.696d,15.51@15.52,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Rose ed.",,"fr 645",15,15.697a,15.52,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,"Rose ed.",,"fr 645",15,15.697b,15.52@15.53,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,1,1.19d,1.34@1.35,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,1,1.19e,1.35,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,1,1.3a,1.4,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,13,13.566e,13.20@13.21,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,13,13.589c,13.55@13.56,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,14,14.655b,14.70@14.71,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,14,14.656a,14.72,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,14,14.656b,14.72,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,15,15.666b,15.2,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,15,15.701c,15.62,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,2,2.51e,2.36@2.37,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,4,4.128a,4.1,,note
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,5,5.213f,5.51@5.52,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,5,5.214a,5.52,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,5,5.214e,5.53,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,7,7.275a,,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,8,8.342c,8.27@8.28,,
"Aristotle of Stagira","natural scientist and philosopher",,Berve,"i #135",,,,,9,9.398e,9.58,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,GA,,,716b15-16,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,GA,,,717a18-19,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,GA,,,755b32-5,8,8.353e,8.48@8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,GA,,,759b21-3,8,8.353a,8.47@8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,GA,,,762a32-3,2,2.63b,2.63,,note
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,487a15-16,8,8.353e,8.48@8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,487a19-22,8,8.353f,8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,489a30-4,8,8.353f,8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,496a14-17,8,8.353c,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,501b19-21,8,8.353c,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,506b13-17,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,506b20-4,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,506b33-7a2,8,8.353c,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,509b3,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,516b9-12,8,8.353e,8.48@8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,521b25-6,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,530a34-b5,3,3.91b,3.41,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,537b22-31,8,8.352e,8.47,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,539b10-11,8,8.352f,8.47,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,540b22-4,8,8.353e,8.48@8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"541b13-17, 19-24",3,3.105c,3.65,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"541b13-17, 19-24",3,3.105d,3.65@3.66,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,544a15-24,3,3.88c,3.35,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,544a15-24,3,3.88d,3.35@3.36,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,544b1-2,11,11.489f,11.79,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,544b5-7,8,8.352e,8.47,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,544b5-7,8,8.352f,8.47,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,545b18-20,8,8.352f,8.47,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,546b18-7a13,3,3.88d,3.35@3.36,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,546b18-7a13,3,3.88e,3.36,range,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,546b18-7a13,3,3.88f,3.36,range,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,546b18-7a13,3,3.89a,3.36@3.37,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"547a13-16, b3-8",3,3.89b,3.37,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"547a13-16, b3-8",3,3.89c,3.37@3.38,range,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"547a13-16, b3-8",3,3.89d,3.38,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"547b18-23, 548a24-7",3,3.89e,3.38,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"547b18-23, 548a24-7",3,3.89f,3.38@3.39,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,547b8-11,8,8.352e,8.47,,"with note"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,549b28,3,3.105d,3.65@3.66,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,551b10-12,8,8.352f,8.47,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,552b11-14,8,8.353e,8.48@8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,554b6-7,8,8.352f,8.47,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,565b20-2,8,8.353d,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,570a3-24,7,7.298c,7.52,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,602a25-31,7,7.302b,7.63@7.64,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,607b11-14,8,8.332c,8.5,,note
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,613a2-5,9,9.394e,9.51,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,613a2-5,9,9.394f,9.51,range,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,613a2-5,9,9.395a,9.51,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,613b13-14a1,9,9.389b,9.41@9.42,,note
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"614a2-4, 8-23",9,9.389c,9.42,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"614a2-4, 8-23",9,9.389d,9.42,range,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,"614a2-4, 8-23",9,9.389e,9.42,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,617b31-18a6,9,9.391c,9.45,,note
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,619b18-21,8,8.353b,8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,633a29-b2,9,9.387b,9.37,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,HA,,,633a29-b2,9,9.387c,9.37@9.38,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,MA,,,704a11-18,8,8.353f,8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,MA,,,707b5-9,8,8.353f,8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,Mir.,,,831a2-3,8,8.353a,8.47@8.48,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,Mir.,,,838a15-21,12,12.541a,12.57@12.58,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,PA,,,655a23,8,8.353e,8.48@8.49,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,PA,,,687a6-12,8,8.354a,8.49@8.50,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,Pr.,,,872b20-5,10,10.434f,10.45,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,Rh.Al.,,,1420a25-7,11,11.508a,11.117,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Düring ed.",,"test 51b",12,12.530d,12.40,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 15",11,11.505c,11.112,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 180",2,2.63b,2.63,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 181",2,2.64f,2.67@2.68,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 181",2,2.65a,2.68,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 182",3,3.88a,3.35,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 182",3,3.88b,3.35,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 183",3,3.88c,3.35,"range start","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 183",3,3.88d,3.35@3.36,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 183",3,3.88e,3.36,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 183",3,3.88f,3.36,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 183",3,3.89a,3.36@3.37,"range end","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 184",3,3.89b,3.37,"range start","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 184",3,3.89c,3.37@3.38,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 184",3,3.89d,3.38,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 184",3,3.89e,3.38,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 184",3,3.89f,3.38@3.39,range,"round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 184",3,3.90a,3.39,"range end","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 185",3,3.91b,3.41,"range start","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 185",3,3.91c,3.41,"range end","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 186",3,3.93a,3.44@3.45,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 187",3,3.105c,3.65,"range start","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 187",3,3.105d,3.65@3.66,"range end","round brackets"
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 188",7,7.277e,7.5@7.6,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 188",7,7.278a,7.6@7.7,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 189",7,7.281f,7.15,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 190",7,7.282c,7.16@7.17,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 191",7,7.282d,7.17,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 192",7,7.284f,7.22,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 193",7,7.286b,7.25@7.26,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 194",7,7.286c,7.26,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 195",7,7.286f,7.27,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 196",7,7.294d,7.43,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 197",7,7.294d,7.43,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 198",7,7.298b,7.52,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 199",7,7.299c,7.54,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 200",7,7.300e,7.57@7.58,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 201",7,7.300f,7.58@7.59,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 202",7,7.301c,7.60@7.61,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 203",7,7.301e,7.63,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 204",7,7.303c,7.66@7.67,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 205",7,7.303c,7.66@7.67,"range start",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 205",7,7.303d,7.67,"range end",
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 206",7,7.303d,7.67,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 207",7,7.304c,7.68,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 208",7,7.305c,7.71,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 209",7,7.305d,7.71@7.72,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 210",7,7.305f,7.72@7.73,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 211",7,7.306c,7.74@7.75,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 212",7,7.306f,7.77,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 213",7,7.307a,7.77,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 214",7,7.307c,7.78,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 215",7,7.308b,7.80,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 216",7,7.308d,7.80@7.81,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 217",7,7.309a,7.81@7.82,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 218",7,7.310e,7.85@7.86,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 219",7,7.312c,7.90,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 220",7,7.312e,7.90@7.91,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 221",7,7.313d,7.93,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 222",7,7.314c,7.95,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 223",7,7.314e,7.95@7.96,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 224",7,7.315a,7.97,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 225",7,7.315e,7.98@7.99,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 226",7,7.316c,7.100@7.101,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 227",7,7.317d,7.103@7.104,,
"Aristotle of Stagira","natural scientist and philosopher",,PAA,175240,,"Gigon ed.",,"fr 228",7,7.317f,7.104@7.105,"range start",
